Timestamp,Task,Type,Mode,Agent,Round,Model Name,Role Name,Data Num,Mean Fluency,STD Fluency,Mean Flexibility,STD Flexibility,Mean Originality,STD Originality,Mean Elaboration,STD Elaboration,File Name
2024-03-16 21:30:32,Scientific,single,Default,1,1,gpt-3-5-turbo-0125,,10,5.567,1.367,5.233,1.453,3.381,0.364,2.948,0.382,Scientific_single_debate_default_1_1_gpt-3.5-turbo-0125_None_final_2024-03-16-21-30-32_10
2024-03-16 22:59:46,Scientific,debate,prompt-4,2,6,gpt-3-5-turbo-0125,None,10,4.233,1.761,4.617,1.674,3.662,0.926,3.17,0.958,Scientific_multi_debate_default_2_6_gpt-3-5-turbo-0125_None_final_2024-03-16-22-59-46_10
2024-03-17 00:48:26,Scientific,debate,prompt-5,2,6,gpt-3-5-turbo-0125,None,10,4.3,2.369,4.7,2.016,3.352,0.943,3.053,0.964,Scientific_multi_debate_prompt-5_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-00-48-26_10
2024-03-17 00:51:55,Scientific,debate,prompt-1,2,6,gpt-3-5-turbo-0125,None,10,4.517,1.554,4.817,1.478,3.708,0.53,2.971,0.814,Scientific_multi_debate_prompt-1_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-00-51-55_10
2024-03-17 02:25:44,Scientific,debate,prompt-2,2,6,gpt-3-5-turbo-0125,None,10,6.167,2.185,6.117,2.281,3.776,0.229,3.132,0.542,Scientific_multi_debate_prompt-2_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-02-25-44_10
2024-03-17 02:32:28,Scientific,debate,prompt-3,2,6,gpt-3-5-turbo-0125,None,10,3.883,2.017,3.633,1.479,3.592,1.224,2.806,1.224,Scientific_multi_debate_prompt-3_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-02-32-28_10
2024-03-17 12:39:31,Scientific,debate,prompt-2-final,2,2,gpt-3-5-turbo-0125,None,10,6.233,2.229,5.617,1.557,3.459,0.333,2.776,0.582,Scientific_multi_debate_prompt-2-final_2_2_gpt-3-5-turbo-0125_None_final_2024-03-17-12-39-31_10
2024-03-17 13:50:46,Scientific,debate,prompt-2-final,2,3,gpt-3-5-turbo-0125,None,10,6.533,3.006,5.75,2.052,3.495,0.604,2.851,0.689,Scientific_multi_debate_prompt-2-final_2_3_gpt-3-5-turbo-0125_None_final_2024-03-17-13-50-46_10
2024-03-17 15:25:01,Scientific,debate,prompt-2-final,2,4,gpt-3-5-turbo-0125,None,10,6.683,2.109,6.517,2.061,3.61,0.393,2.869,0.703,Scientific_multi_debate_prompt-2-final_2_4_gpt-3-5-turbo-0125_None_final_2024-03-17-15-25-01_10
2024-03-17 16:48:19,Scientific,debate,prompt-2-final,2,5,gpt-3-5-turbo-0125,None,10,5.533,2.453,5.533,2.072,3.738,0.319,3.167,0.558,Scientific_multi_debate_prompt-2-final_2_5_gpt-3-5-turbo-0125_None_final_2024-03-17-16-48-19_10
2024-03-17 18:24:39,Scientific,debate,prompt-2-final,2,6,gpt-3-5-turbo-0125,None,10,5.95,1.998,5.867,1.815,3.675,0.344,2.998,0.701,Scientific_multi_debate_prompt-2-final_2_6_gpt-3-5-turbo-0125_None_final_2024-03-17-18-24-39_10
2024-03-17 20:13:29,Scientific,debate,prompt-2-final,2,8,gpt-3-5-turbo-0125,None,10,5.783,2.98,5.45,2.006,3.788,0.36,2.802,0.85,Scientific_multi_debate_prompt-2-final_2_8_gpt-3-5-turbo-0125_None_final_2024-03-17-20-13-29_10
2024-03-17 20:54:21,Scientific,single,default,1,1,gpt-3-5-turbo-0125,,10,5.633,1.67,5.267,1.625,3.42,0.374,2.93,0.469,Scientific_single_single_final_1_1_gpt-3.5-turbo-0125_None_final_2024-03-17-20-54-21_10
2024-03-17 22:16:54,Scientific,debate,prompt-2-final,2,10,gpt-3-5-turbo-0125,None,10,5.033,2.83,4.833,1.533,3.57,0.911,2.581,0.956,Scientific_multi_debate_prompt-2-final_2_10_gpt-3-5-turbo-0125_None_final_2024-03-17-22-16-54_10
2024-03-18 04:14:31,Scientific,debate,FINAL,2,2,gpt-3-5-turbo-0125,None,10,5.45,1.355,5.117,1.525,3.356,0.324,2.893,0.449,Scientific_multi_debate_FINAL_2_2_gpt-3-5-turbo-0125_None_final_2024-03-18-04-14-31_10
2024-03-18 05:21:13,Scientific,debate,FINAL,3,6,gpt-3-5-turbo-0125,None,10,5.178,1.827,5.344,1.902,3.635,0.755,3.148,0.902,Scientific_multi_debate_FINAL_3_6_gpt-3-5-turbo-0125_None_final_2024-03-18-05-21-13_10
